,F3 alpha,F3 beta,F4 alpha,F4 beta,C3 alpha,C3 beta,C4 alpha,C4 beta,Fp1 alpha,Fp1 beta,Fp2 alpha,Fp2 beta,O1 gamma,O2 gamma
40,-6.86811771612208e-08,-6.772785479931561e-08,-1.32633593348054e-08,-8.0754210042203e-08,6.485693317847485e-08,-1.2342350058402255e-08,-5.886072099178182e-08,-5.06494009891315e-08,6.138688660875116e-10,8.376573650071793e-11,-3.0547825634594315e-08,-9.764208698712626e-08,4.226953740229242e-09,2.0417347486526694e-08
41,-4.526971635342535e-09,4.7032189438658734e-08,4.0824503286281354e-08,1.1843025326919685e-07,-4.038686340215249e-08,6.22173694337134e-08,9.216312626844386e-08,1.0121880800640642e-07,-2.264044768878019e-09,5.529655368114596e-10,6.749536784906441e-08,1.3365169758516982e-07,4.160578472453687e-09,-2.5496581762129603e-08
42,-8.639323429337782e-08,1.634952191158272e-08,-5.5395663268142636e-08,-1.2442714152553073e-08,-1.3212303149259538e-07,-8.070040890226143e-08,-2.2203839613781497e-08,-2.3524428234259333e-08,1.5191876809764871e-09,-2.9938294155758897e-10,-1.2997904784535576e-07,-2.9665697796510544e-08,-1.0996897399352812e-08,1.107508035021821e-08
43,2.1897340251372796e-07,5.221065730712757e-08,8.04842775232918e-08,4.3310289849797416e-08,1.8126935427395975e-07,7.705203417006882e-08,8.657154851073292e-09,5.0136063870770116e-08,-2.8563731191533653e-09,-1.7829193292964947e-09,1.3642747945180846e-07,5.0620702213150353e-08,-2.309517559355692e-09,-2.8708898792502048e-08
44,-8.577085815478898e-08,-2.9509643920606652e-08,-2.7236066773414506e-08,-2.838747735476563e-08,-1.1340609580201695e-07,-4.6793129657303753e-08,8.116715424053076e-08,-4.01895132613681e-08,2.554227226398053e-09,6.755044560642447e-10,-8.793069909998505e-09,-2.808663340506006e-08,1.2674980019405199e-08,4.681127170170628e-08
45,8.534174663628571e-08,3.7114682120827315e-09,1.2381851361624086e-07,4.2899537058031625e-08,9.843756455471824e-08,-1.1166448867971992e-08,-1.5630678004043215e-08,2.414882909216795e-08,1.0861179394568772e-09,5.103034463121135e-10,1.1833488707129828e-07,4.0620488310803334e-08,-9.07430854536932e-09,-9.267269910048257e-09
46,-1.5508780852301535e-07,-4.922986732626767e-08,-1.7707273976795958e-07,-8.586473269046737e-08,-1.6096949651205046e-07,-1.4888290984067564e-08,-1.1180696356040596e-07,-4.301104765689103e-08,3.491187161797681e-10,3.83087878884095e-11,-1.7649080015027154e-07,-8.345388947962086e-08,2.840027620393812e-09,-7.869678501857507e-09
47,-3.378689901500641e-08,-4.669479677537166e-10,-8.262592643446641e-08,-2.1301998469060628e-08,3.0795094397993587e-08,2.0491383265107462e-09,-1.1498393275925107e-07,-2.197911271962531e-08,-4.89904940205366e-10,-4.673106145786766e-11,-7.313763847713736e-08,-1.0687075583979238e-08,-1.530135142923521e-09,-3.951332265198471e-09
48,9.94233224381359e-08,5.7215943834650854e-08,2.1227563291359682e-07,1.2412507326143935e-07,3.3179819995133424e-08,1.4939297885383602e-08,2.0686332064997625e-07,6.035064213367561e-08,-2.810176923767771e-10,1.1571194674107749e-10,2.2852725820677162e-07,1.1575036715754223e-07,-2.5626255232607184e-09,1.5302247108655388e-08
49,-1.537262534668936e-08,-4.5926607532988403e-08,-1.4043611295078155e-07,-8.679566854966739e-08,3.193046215202041e-08,-1.4301069087511666e-08,-7.352935421649778e-08,-2.2691098346455586e-08,-2.5285670104186384e-10,5.159372607504503e-10,-1.5252491358147798e-07,-7.133877166306273e-08,5.318975918564188e-09,-3.1401644625423087e-08
